[17-09-2026 | 18:14:21] Temp=20.3°C  Hum=88.3%  => Deshumidificador ON
[17-09-2026 | 22:17:09] Temp=29.6°C  Hum=31.1%  => A/C + Humidificador encendido
[17-09-2026 | 22:17:12] Temp=21.3°C  Hum=55.9%  => Todo estable, sistema apagado
[17-09-2026 | 22:17:15] Temp=30.9°C  Hum=28.3%  => A/C + Humidificador encendido
[17-09-2026 | 22:17:18] Temp=32.2°C  Hum=38.1%  => Ventilador encendido
[17-09-2026 | 22:17:21] Temp=34.8°C  Hum=91.8%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:17:24] Temp=34.3°C  Hum=75.9%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:17:27] Temp=30.1°C  Hum=57.7%  => Ventilador encendido
[17-09-2026 | 22:17:30] Temp=17.1°C  Hum=88.7%  => Deshumidificador encendido
[17-09-2026 | 22:17:33] Temp=22.7°C  Hum=30.9%  => Humidificador encendido
[17-09-2026 | 22:17:36] Temp=28.0°C  Hum=27.3%  => Humidificador encendido
[17-09-2026 | 22:17:39] Temp=33.2°C  Hum=88.1%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:17:42] Temp=25.6°C  Hum=55.6%  => Todo estable, sistema apagado
[17-09-2026 | 22:17:45] Temp=16.0°C  Hum=79.9%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:17:48] Temp=18.7°C  Hum=54.8%  => Todo estable, sistema apagado
[17-09-2026 | 22:17:51] Temp=31.5°C  Hum=44.0%  => Ventilador encendido
[17-09-2026 | 22:17:54] Temp=12.5°C  Hum=65.3%  => Calefacción encendido
[17-09-2026 | 22:17:57] Temp=28.9°C  Hum=72.2%  => Todo estable, sistema apagado
[17-09-2026 | 22:18:00] Temp=26.7°C  Hum=78.1%  => Deshumidificador encendido
[17-09-2026 | 22:18:03] Temp=37.9°C  Hum=78.1%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:18:06] Temp=29.6°C  Hum=35.5%  => Ventilador encendido
[17-09-2026 | 22:18:09] Temp=33.6°C  Hum=89.0%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:18:12] Temp=32.4°C  Hum=38.8%  => Ventilador encendido
[17-09-2026 | 22:18:15] Temp=17.1°C  Hum=68.2%  => Todo estable, sistema apagado
[17-09-2026 | 22:18:18] Temp=25.2°C  Hum=74.1%  => Todo estable, sistema apagado
[17-09-2026 | 22:18:21] Temp=33.8°C  Hum=66.9%  => Ventilador encendido
[17-09-2026 | 22:18:24] Temp=25.8°C  Hum=41.0%  => Todo estable, sistema apagado
[17-09-2026 | 22:18:27] Temp=34.7°C  Hum=74.4%  => Ventilador encendido
[17-09-2026 | 22:18:30] Temp=36.0°C  Hum=49.3%  => Ventilador encendido
[17-09-2026 | 22:18:33] Temp=31.2°C  Hum=70.4%  => Ventilador encendido
[17-09-2026 | 22:18:36] Temp=22.4°C  Hum=36.8%  => Todo estable, sistema apagado
[17-09-2026 | 22:18:39] Temp=23.1°C  Hum=29.0%  => Humidificador encendido
[17-09-2026 | 22:18:42] Temp=25.6°C  Hum=39.3%  => Todo estable, sistema apagado
[17-09-2026 | 22:18:45] Temp=22.4°C  Hum=30.1%  => Humidificador encendido
[17-09-2026 | 22:18:48] Temp=16.2°C  Hum=41.3%  => Calefacción encendido
[17-09-2026 | 22:18:51] Temp=32.2°C  Hum=52.2%  => Ventilador encendido
[17-09-2026 | 22:18:54] Temp=35.6°C  Hum=40.7%  => Ventilador encendido
[17-09-2026 | 22:18:57] Temp=23.3°C  Hum=66.1%  => Todo estable, sistema apagado
[17-09-2026 | 22:19:00] Temp=33.0°C  Hum=52.2%  => Ventilador encendido
[17-09-2026 | 22:19:03] Temp=31.5°C  Hum=49.1%  => Ventilador encendido
[17-09-2026 | 22:19:06] Temp=36.9°C  Hum=66.3%  => Ventilador encendido
[17-09-2026 | 22:19:09] Temp=28.1°C  Hum=38.3%  => Todo estable, sistema apagado
[17-09-2026 | 22:19:12] Temp=13.3°C  Hum=47.1%  => Calefacción encendido
[17-09-2026 | 22:19:15] Temp=21.3°C  Hum=31.9%  => Humidificador encendido
[17-09-2026 | 22:19:18] Temp=16.8°C  Hum=93.7%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:19:21] Temp=17.2°C  Hum=52.1%  => Todo estable, sistema apagado
[17-09-2026 | 22:19:24] Temp=28.5°C  Hum=46.6%  => Todo estable, sistema apagado
[17-09-2026 | 22:19:27] Temp=31.8°C  Hum=59.1%  => Ventilador encendido
[17-09-2026 | 22:19:30] Temp=24.7°C  Hum=60.9%  => Todo estable, sistema apagado
[17-09-2026 | 22:19:33] Temp=19.4°C  Hum=85.4%  => Deshumidificador encendido
[17-09-2026 | 22:19:36] Temp=25.2°C  Hum=64.3%  => Todo estable, sistema apagado
[17-09-2026 | 22:19:39] Temp=29.7°C  Hum=72.8%  => Ventilador encendido
[17-09-2026 | 22:19:42] Temp=14.6°C  Hum=63.1%  => Calefacción encendido
[17-09-2026 | 22:19:45] Temp=18.7°C  Hum=44.8%  => Todo estable, sistema apagado
[17-09-2026 | 22:19:48] Temp=18.9°C  Hum=28.8%  => Humidificador encendido
[17-09-2026 | 22:19:51] Temp=22.0°C  Hum=85.3%  => Deshumidificador encendido
[17-09-2026 | 22:19:54] Temp=22.5°C  Hum=80.3%  => Deshumidificador encendido
[17-09-2026 | 22:19:57] Temp=30.4°C  Hum=70.6%  => Ventilador encendido
[17-09-2026 | 22:20:00] Temp=13.8°C  Hum=93.4%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:20:03] Temp=35.0°C  Hum=68.3%  => Ventilador encendido
[17-09-2026 | 22:20:07] Temp=14.7°C  Hum=88.5%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:20:10] Temp=14.2°C  Hum=88.2%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:20:13] Temp=21.5°C  Hum=84.3%  => Deshumidificador encendido
[17-09-2026 | 22:20:16] Temp=13.1°C  Hum=69.3%  => Calefacción encendido
[17-09-2026 | 22:20:19] Temp=26.5°C  Hum=71.7%  => Todo estable, sistema apagado
[17-09-2026 | 22:20:22] Temp=19.1°C  Hum=60.2%  => Todo estable, sistema apagado
[17-09-2026 | 22:20:25] Temp=15.0°C  Hum=73.8%  => Calefacción encendido
[17-09-2026 | 22:20:28] Temp=27.2°C  Hum=50.0%  => Todo estable, sistema apagado
[17-09-2026 | 22:20:31] Temp=31.1°C  Hum=92.7%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:20:34] Temp=25.9°C  Hum=43.3%  => Todo estable, sistema apagado
[17-09-2026 | 22:20:37] Temp=32.2°C  Hum=46.9%  => Ventilador encendido
[17-09-2026 | 22:20:40] Temp=15.8°C  Hum=70.9%  => Calefacción encendido
[17-09-2026 | 22:20:43] Temp=27.7°C  Hum=32.9%  => Humidificador encendido
[17-09-2026 | 22:20:46] Temp=30.5°C  Hum=87.6%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:20:49] Temp=31.0°C  Hum=73.8%  => Ventilador encendido
[17-09-2026 | 22:20:52] Temp=17.8°C  Hum=89.5%  => Deshumidificador encendido
[17-09-2026 | 22:20:55] Temp=18.3°C  Hum=86.6%  => Deshumidificador encendido
[17-09-2026 | 22:20:58] Temp=28.6°C  Hum=66.5%  => Todo estable, sistema apagado
[17-09-2026 | 22:21:01] Temp=20.5°C  Hum=49.9%  => Todo estable, sistema apagado
[17-09-2026 | 22:21:04] Temp=23.2°C  Hum=83.3%  => Deshumidificador encendido
[17-09-2026 | 22:21:07] Temp=32.4°C  Hum=28.4%  => A/C + Humidificador encendido
[17-09-2026 | 22:21:10] Temp=34.1°C  Hum=35.1%  => Ventilador encendido
[17-09-2026 | 22:21:13] Temp=21.8°C  Hum=63.7%  => Todo estable, sistema apagado
[17-09-2026 | 22:21:16] Temp=31.2°C  Hum=58.3%  => Ventilador encendido
[17-09-2026 | 22:21:19] Temp=27.0°C  Hum=72.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:21:22] Temp=35.7°C  Hum=84.0%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:21:25] Temp=18.1°C  Hum=64.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:21:28] Temp=33.8°C  Hum=71.1%  => Ventilador encendido
[17-09-2026 | 22:21:31] Temp=12.8°C  Hum=70.8%  => Calefacción encendido
[17-09-2026 | 22:21:34] Temp=21.3°C  Hum=35.1%  => Todo estable, sistema apagado
[17-09-2026 | 22:21:37] Temp=21.3°C  Hum=48.6%  => Todo estable, sistema apagado
[17-09-2026 | 22:21:40] Temp=27.0°C  Hum=77.4%  => Deshumidificador encendido
[17-09-2026 | 22:21:44] Temp=24.3°C  Hum=67.5%  => Todo estable, sistema apagado
[17-09-2026 | 22:21:47] Temp=28.7°C  Hum=51.2%  => Todo estable, sistema apagado
[17-09-2026 | 22:21:50] Temp=20.5°C  Hum=62.2%  => Todo estable, sistema apagado
[17-09-2026 | 22:21:53] Temp=31.1°C  Hum=39.9%  => Ventilador encendido
[17-09-2026 | 22:21:56] Temp=16.5°C  Hum=66.2%  => Calefacción encendido
[17-09-2026 | 22:21:59] Temp=33.2°C  Hum=61.9%  => Ventilador encendido
[17-09-2026 | 22:22:02] Temp=24.3°C  Hum=75.9%  => Deshumidificador encendido
[17-09-2026 | 22:22:05] Temp=17.7°C  Hum=36.1%  => Todo estable, sistema apagado
[17-09-2026 | 22:22:08] Temp=20.2°C  Hum=92.3%  => Deshumidificador encendido
[17-09-2026 | 22:22:11] Temp=17.8°C  Hum=32.4%  => Humidificador encendido
[17-09-2026 | 22:22:14] Temp=17.1°C  Hum=58.8%  => Todo estable, sistema apagado
[17-09-2026 | 22:22:18] Temp=12.4°C  Hum=90.2%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:22:21] Temp=23.4°C  Hum=31.8%  => Humidificador encendido
[17-09-2026 | 22:22:24] Temp=19.4°C  Hum=82.5%  => Deshumidificador encendido
[17-09-2026 | 22:22:27] Temp=31.9°C  Hum=42.4%  => Ventilador encendido
[17-09-2026 | 22:22:30] Temp=30.6°C  Hum=72.1%  => Ventilador encendido
[17-09-2026 | 22:22:33] Temp=17.4°C  Hum=91.3%  => Deshumidificador encendido
[17-09-2026 | 22:22:36] Temp=20.9°C  Hum=33.4%  => Humidificador encendido
[17-09-2026 | 22:22:39] Temp=15.3°C  Hum=78.1%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:22:42] Temp=21.4°C  Hum=35.8%  => Todo estable, sistema apagado
[17-09-2026 | 22:22:45] Temp=37.5°C  Hum=75.4%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:22:48] Temp=25.1°C  Hum=37.3%  => Todo estable, sistema apagado
[17-09-2026 | 22:22:52] Temp=22.5°C  Hum=68.5%  => Todo estable, sistema apagado
[17-09-2026 | 22:22:55] Temp=20.5°C  Hum=76.8%  => Deshumidificador encendido
[17-09-2026 | 22:22:58] Temp=27.7°C  Hum=50.3%  => Todo estable, sistema apagado
[17-09-2026 | 22:23:01] Temp=34.3°C  Hum=41.5%  => Ventilador encendido
[17-09-2026 | 22:23:04] Temp=13.2°C  Hum=89.3%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:23:07] Temp=33.3°C  Hum=91.7%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:23:10] Temp=30.6°C  Hum=40.1%  => Ventilador encendido
[17-09-2026 | 22:23:13] Temp=29.1°C  Hum=53.7%  => Ventilador encendido
[17-09-2026 | 22:23:16] Temp=22.3°C  Hum=69.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:23:19] Temp=30.3°C  Hum=33.3%  => A/C + Humidificador encendido
[17-09-2026 | 22:23:22] Temp=18.3°C  Hum=90.3%  => Deshumidificador encendido
[17-09-2026 | 22:23:26] Temp=33.4°C  Hum=31.7%  => A/C + Humidificador encendido
[17-09-2026 | 22:23:29] Temp=17.8°C  Hum=27.0%  => Humidificador encendido
[17-09-2026 | 22:23:32] Temp=34.6°C  Hum=43.0%  => Ventilador encendido
[17-09-2026 | 22:23:35] Temp=36.7°C  Hum=61.1%  => Ventilador encendido
[17-09-2026 | 22:23:38] Temp=33.7°C  Hum=35.8%  => Ventilador encendido
[17-09-2026 | 22:23:41] Temp=24.1°C  Hum=78.4%  => Deshumidificador encendido
[17-09-2026 | 22:23:44] Temp=15.3°C  Hum=88.2%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:23:47] Temp=13.9°C  Hum=62.4%  => Calefacción encendido
[17-09-2026 | 22:23:50] Temp=28.6°C  Hum=27.3%  => Humidificador encendido
[17-09-2026 | 22:23:53] Temp=12.8°C  Hum=74.3%  => Calefacción encendido
[17-09-2026 | 22:23:57] Temp=20.5°C  Hum=44.1%  => Todo estable, sistema apagado
[17-09-2026 | 22:24:00] Temp=33.2°C  Hum=31.7%  => A/C + Humidificador encendido
[17-09-2026 | 22:24:03] Temp=20.8°C  Hum=50.9%  => Todo estable, sistema apagado
[17-09-2026 | 22:24:06] Temp=24.7°C  Hum=40.1%  => Todo estable, sistema apagado
[17-09-2026 | 22:24:09] Temp=23.8°C  Hum=61.5%  => Todo estable, sistema apagado
[17-09-2026 | 22:24:12] Temp=26.4°C  Hum=84.4%  => Deshumidificador encendido
[17-09-2026 | 22:24:15] Temp=30.5°C  Hum=62.4%  => Ventilador encendido
[17-09-2026 | 22:24:18] Temp=20.3°C  Hum=41.7%  => Todo estable, sistema apagado
[17-09-2026 | 22:24:21] Temp=12.1°C  Hum=77.8%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:24:24] Temp=29.7°C  Hum=83.4%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:24:27] Temp=21.8°C  Hum=69.3%  => Todo estable, sistema apagado
[17-09-2026 | 22:24:31] Temp=24.6°C  Hum=51.1%  => Todo estable, sistema apagado
[17-09-2026 | 22:24:34] Temp=33.6°C  Hum=35.4%  => Ventilador encendido
[17-09-2026 | 22:24:37] Temp=25.3°C  Hum=34.8%  => Humidificador encendido
[17-09-2026 | 22:24:40] Temp=35.4°C  Hum=91.7%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:24:43] Temp=36.5°C  Hum=60.8%  => Ventilador encendido
[17-09-2026 | 22:24:46] Temp=25.4°C  Hum=81.8%  => Deshumidificador encendido
[17-09-2026 | 22:24:49] Temp=26.2°C  Hum=68.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:24:52] Temp=17.1°C  Hum=93.0%  => Deshumidificador encendido
[17-09-2026 | 22:24:55] Temp=34.5°C  Hum=56.3%  => Ventilador encendido
[17-09-2026 | 22:24:58] Temp=27.3°C  Hum=62.9%  => Todo estable, sistema apagado
[17-09-2026 | 22:25:01] Temp=29.7°C  Hum=25.4%  => A/C + Humidificador encendido
[17-09-2026 | 22:25:05] Temp=25.7°C  Hum=86.5%  => Deshumidificador encendido
[17-09-2026 | 22:25:08] Temp=33.6°C  Hum=86.4%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:25:11] Temp=35.3°C  Hum=78.3%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:25:14] Temp=28.4°C  Hum=55.1%  => Todo estable, sistema apagado
[17-09-2026 | 22:25:17] Temp=15.7°C  Hum=64.7%  => Calefacción encendido
[17-09-2026 | 22:25:20] Temp=31.2°C  Hum=55.9%  => Ventilador encendido
[17-09-2026 | 22:25:23] Temp=26.7°C  Hum=28.3%  => Humidificador encendido
[17-09-2026 | 22:25:26] Temp=30.6°C  Hum=73.4%  => Ventilador encendido
[17-09-2026 | 22:25:29] Temp=15.3°C  Hum=29.4%  => Calefacción + Humidificador encendido
[17-09-2026 | 22:25:32] Temp=19.1°C  Hum=33.6%  => Humidificador encendido
[17-09-2026 | 22:25:35] Temp=26.2°C  Hum=84.5%  => Deshumidificador encendido
[17-09-2026 | 22:25:39] Temp=22.7°C  Hum=84.3%  => Deshumidificador encendido
[17-09-2026 | 22:25:42] Temp=31.2°C  Hum=62.4%  => Ventilador encendido
[17-09-2026 | 22:25:45] Temp=30.2°C  Hum=94.1%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:25:48] Temp=20.7°C  Hum=31.8%  => Humidificador encendido
[17-09-2026 | 22:25:51] Temp=19.8°C  Hum=92.0%  => Deshumidificador encendido
[17-09-2026 | 22:25:54] Temp=30.6°C  Hum=67.7%  => Ventilador encendido
[17-09-2026 | 22:25:57] Temp=24.3°C  Hum=38.0%  => Todo estable, sistema apagado
[17-09-2026 | 22:26:00] Temp=20.6°C  Hum=40.7%  => Todo estable, sistema apagado
[17-09-2026 | 22:26:03] Temp=17.1°C  Hum=59.6%  => Todo estable, sistema apagado
[17-09-2026 | 22:26:06] Temp=33.1°C  Hum=91.4%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:26:10] Temp=29.4°C  Hum=60.1%  => Ventilador encendido
[17-09-2026 | 22:26:13] Temp=30.4°C  Hum=91.2%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:26:16] Temp=31.4°C  Hum=86.8%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:26:19] Temp=26.5°C  Hum=25.4%  => Humidificador encendido
[17-09-2026 | 22:26:22] Temp=29.5°C  Hum=79.8%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:26:25] Temp=27.4°C  Hum=55.0%  => Todo estable, sistema apagado
[17-09-2026 | 22:26:28] Temp=14.4°C  Hum=54.7%  => Calefacción encendido
[17-09-2026 | 22:26:31] Temp=37.9°C  Hum=27.3%  => A/C + Humidificador encendido
[17-09-2026 | 22:26:34] Temp=24.6°C  Hum=50.9%  => Todo estable, sistema apagado
[17-09-2026 | 22:26:37] Temp=14.4°C  Hum=51.6%  => Calefacción encendido
[17-09-2026 | 22:26:40] Temp=21.7°C  Hum=83.1%  => Deshumidificador encendido
[17-09-2026 | 22:26:45] Temp=12.5°C  Hum=65.5%  => Calefacción encendido
[17-09-2026 | 22:26:48] Temp=17.7°C  Hum=51.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:26:51] Temp=37.3°C  Hum=54.8%  => Ventilador encendido
[17-09-2026 | 22:26:54] Temp=14.8°C  Hum=25.7%  => Calefacción + Humidificador encendido
[17-09-2026 | 22:26:57] Temp=21.1°C  Hum=91.7%  => Deshumidificador encendido
[17-09-2026 | 22:27:00] Temp=30.3°C  Hum=68.0%  => Ventilador encendido
[17-09-2026 | 22:27:03] Temp=15.6°C  Hum=85.5%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:27:06] Temp=37.2°C  Hum=77.9%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:27:09] Temp=12.4°C  Hum=71.7%  => Calefacción encendido
[17-09-2026 | 22:27:12] Temp=26.3°C  Hum=84.3%  => Deshumidificador encendido
[17-09-2026 | 22:27:15] Temp=27.6°C  Hum=33.6%  => Humidificador encendido
[17-09-2026 | 22:27:19] Temp=26.2°C  Hum=79.8%  => Deshumidificador encendido
[17-09-2026 | 22:27:22] Temp=37.5°C  Hum=87.1%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:27:25] Temp=18.9°C  Hum=36.9%  => Todo estable, sistema apagado
[17-09-2026 | 22:27:28] Temp=21.3°C  Hum=41.1%  => Todo estable, sistema apagado
[17-09-2026 | 22:27:31] Temp=21.1°C  Hum=30.9%  => Humidificador encendido
[17-09-2026 | 22:27:34] Temp=16.7°C  Hum=25.5%  => Calefacción + Humidificador encendido
[17-09-2026 | 22:27:37] Temp=35.8°C  Hum=45.4%  => Ventilador encendido
[17-09-2026 | 22:27:40] Temp=27.4°C  Hum=39.0%  => Todo estable, sistema apagado
[17-09-2026 | 22:27:43] Temp=25.0°C  Hum=76.0%  => Deshumidificador encendido
[17-09-2026 | 22:27:46] Temp=15.1°C  Hum=31.6%  => Calefacción + Humidificador encendido
[17-09-2026 | 22:27:49] Temp=13.1°C  Hum=73.7%  => Calefacción encendido
[17-09-2026 | 22:27:53] Temp=18.2°C  Hum=30.1%  => Humidificador encendido
[17-09-2026 | 22:27:56] Temp=19.6°C  Hum=61.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:27:59] Temp=31.9°C  Hum=86.4%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:28:02] Temp=26.6°C  Hum=30.5%  => Humidificador encendido
[17-09-2026 | 22:28:05] Temp=27.0°C  Hum=26.1%  => Humidificador encendido
[17-09-2026 | 22:28:08] Temp=12.8°C  Hum=77.1%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:28:11] Temp=14.2°C  Hum=28.1%  => Calefacción + Humidificador encendido
[17-09-2026 | 22:28:14] Temp=30.7°C  Hum=60.4%  => Ventilador encendido
[17-09-2026 | 22:28:17] Temp=16.1°C  Hum=31.6%  => Calefacción + Humidificador encendido
[17-09-2026 | 22:28:20] Temp=37.1°C  Hum=77.4%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:28:24] Temp=26.1°C  Hum=26.9%  => Humidificador encendido
[17-09-2026 | 22:28:27] Temp=31.2°C  Hum=90.5%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:28:30] Temp=12.3°C  Hum=58.6%  => Calefacción encendido
[17-09-2026 | 22:28:33] Temp=12.8°C  Hum=39.1%  => Calefacción encendido
[17-09-2026 | 22:28:36] Temp=16.1°C  Hum=40.6%  => Calefacción encendido
[17-09-2026 | 22:28:39] Temp=29.9°C  Hum=80.3%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:28:42] Temp=20.2°C  Hum=87.4%  => Deshumidificador encendido
[17-09-2026 | 22:28:45] Temp=24.1°C  Hum=60.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:28:48] Temp=13.2°C  Hum=27.7%  => Calefacción + Humidificador encendido
[17-09-2026 | 22:28:51] Temp=13.8°C  Hum=45.2%  => Calefacción encendido
[17-09-2026 | 22:28:54] Temp=33.9°C  Hum=90.1%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:28:58] Temp=25.6°C  Hum=79.8%  => Deshumidificador encendido
[17-09-2026 | 22:29:01] Temp=19.2°C  Hum=62.9%  => Todo estable, sistema apagado
[17-09-2026 | 22:29:04] Temp=27.6°C  Hum=69.4%  => Todo estable, sistema apagado
[17-09-2026 | 22:29:07] Temp=26.1°C  Hum=72.2%  => Todo estable, sistema apagado
[17-09-2026 | 22:29:10] Temp=12.6°C  Hum=43.4%  => Calefacción encendido
[17-09-2026 | 22:29:13] Temp=13.9°C  Hum=30.8%  => Calefacción + Humidificador encendido
[17-09-2026 | 22:29:16] Temp=27.4°C  Hum=88.7%  => Deshumidificador encendido
[17-09-2026 | 22:29:19] Temp=36.2°C  Hum=71.0%  => Ventilador encendido
[17-09-2026 | 22:29:22] Temp=30.6°C  Hum=34.9%  => A/C + Humidificador encendido
[17-09-2026 | 22:29:25] Temp=14.2°C  Hum=48.2%  => Calefacción encendido
[17-09-2026 | 22:29:28] Temp=20.0°C  Hum=39.7%  => Todo estable, sistema apagado
[17-09-2026 | 22:29:32] Temp=33.6°C  Hum=42.1%  => Ventilador encendido
[17-09-2026 | 22:29:35] Temp=35.1°C  Hum=88.8%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:29:38] Temp=23.7°C  Hum=48.8%  => Todo estable, sistema apagado
[17-09-2026 | 22:29:41] Temp=23.9°C  Hum=28.5%  => Humidificador encendido
[17-09-2026 | 22:29:44] Temp=26.2°C  Hum=83.1%  => Deshumidificador encendido
[17-09-2026 | 22:29:47] Temp=25.5°C  Hum=53.6%  => Todo estable, sistema apagado
[17-09-2026 | 22:29:50] Temp=28.8°C  Hum=51.2%  => Todo estable, sistema apagado
[17-09-2026 | 22:29:53] Temp=32.2°C  Hum=85.8%  => A/C + Deshumidificador encendido
[17-09-2026 | 22:29:56] Temp=36.6°C  Hum=36.2%  => Ventilador encendido
[17-09-2026 | 22:29:59] Temp=36.7°C  Hum=33.1%  => A/C + Humidificador encendido
[17-09-2026 | 22:30:02] Temp=37.2°C  Hum=33.8%  => A/C + Humidificador encendido
[17-09-2026 | 22:30:06] Temp=23.3°C  Hum=68.9%  => Todo estable, sistema apagado
[17-09-2026 | 22:30:09] Temp=34.7°C  Hum=37.6%  => Ventilador encendido
[17-09-2026 | 22:30:12] Temp=27.2°C  Hum=45.3%  => Todo estable, sistema apagado
[17-09-2026 | 22:30:15] Temp=33.6°C  Hum=57.9%  => Ventilador encendido
[17-09-2026 | 22:30:18] Temp=32.4°C  Hum=50.4%  => Ventilador encendido
[17-09-2026 | 22:30:21] Temp=33.9°C  Hum=41.0%  => Ventilador encendido
[17-09-2026 | 22:30:24] Temp=35.0°C  Hum=58.6%  => Ventilador encendido
[17-09-2026 | 22:30:27] Temp=14.5°C  Hum=42.3%  => Calefacción encendido
[17-09-2026 | 22:30:30] Temp=15.1°C  Hum=82.0%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:30:33] Temp=23.5°C  Hum=34.6%  => Humidificador encendido
[17-09-2026 | 22:30:38] Temp=19.5°C  Hum=60.3%  => Todo estable, sistema apagado
[17-09-2026 | 22:30:41] Temp=31.0°C  Hum=31.6%  => A/C + Humidificador encendido
[17-09-2026 | 22:30:44] Temp=18.5°C  Hum=28.1%  => Humidificador encendido
[17-09-2026 | 22:30:47] Temp=21.1°C  Hum=93.6%  => Deshumidificador encendido
[17-09-2026 | 22:30:50] Temp=21.0°C  Hum=78.3%  => Deshumidificador encendido
[17-09-2026 | 22:30:53] Temp=19.5°C  Hum=52.1%  => Todo estable, sistema apagado
[17-09-2026 | 22:30:56] Temp=34.5°C  Hum=69.2%  => Ventilador encendido
[17-09-2026 | 22:30:59] Temp=30.4°C  Hum=56.8%  => Ventilador encendido
[17-09-2026 | 22:31:02] Temp=16.3°C  Hum=76.8%  => Calefacción + Deshumidificador encendido
[17-09-2026 | 22:31:05] Temp=14.9°C  Hum=54.7%  => Calefacción encendido
